L1,L2,NWND,Cluster_Number
por,itf,5.79006599568369,1
itf,por,5.7900659956837,1
pr1,ll1,5.7901774359773,1
ll1,pr1,5.7901774359773,1
src,nea,5.79029011955853,1
nea,src,5.79029011955853,1
ve1,por,5.79135357259295,1
por,ve1,5.79135357259296,1
eg1,ro4,5.79181476382988,1
ro4,eg1,5.7918147638299,1
li1,ca1,5.79215483618049,1
ca1,li1,5.79215483618049,1
itg,ca3,5.79467527875131,1
ca3,itg,5.79467527875133,1
sc4,ca4,5.79699395374095,1
ca4,sc4,5.79699395374096,1
ve1,ro4,5.80186599518783,1
ro4,ve1,5.80186599518783,1
li3,ca5,5.80237688085881,1
ca5,li3,5.80237688085883,1
eg1,ast,5.80284756289807,1
ast,eg1,5.80284756289808,1
itg,ro4,5.80285849053474,1
ro4,itg,5.80285849053476,1
win,pm3,5.80454628173685,1
pm3,win,5.80454628173685,1
ro3,ca3,5.80474574045339,1
ca3,ro3,5.80474574045339,1
ca4,ro2,5.80633858410132,1
ro2,ca4,5.80633858410133,1
pm5,dlm,5.80793688409635,1
dlm,pm5,5.80793688409635,1
ca3,pm4,5.80794131955776,1
win,pr1,5.80819206350477,1
pr1,win,5.80819206350477,1
ro1,li2,5.80819593380705,1
li2,ro1,5.80819593380705,1
itf,ca1,5.81021225569059,1
ca1,itf,5.81021225569059,1
rup,ita,5.81050256524894,1
ita,rup,5.81050256524895,1
pm1,win,5.81132415626931,1
win,pm1,5.81132415626932,1
nea,pm5,5.81525568273708,1
pm5,nea,5.8152556827371,1
itg,ll1,5.81748066358885,1
ll1,itg,5.81748066358886,1
sc1,dlm,5.81804994411645,1
dlm,sc1,5.81804994411645,1
pr2,lm2,5.81923537497232,1
lm2,pr2,5.81923537497232,1
ron,itf,5.81942776033735,1
itf,ron,5.81942776033735,1
ito,ro3,5.81953473627832,1
ro3,ito,5.81953473627834,1
li3,ca2,5.82005454596612,1
ca2,li3,5.82005454596612,1
eg1,ro1,5.82193831774585,1
ro1,eg1,5.82193831774586,1
itf,ca3,5.8221811752201,1
ca3,itf,5.8221811752201,1
spa,pm4,5.82346312396731,1
ca6,ro1,5.82433728869274,1
ro1,ca6,5.82433728869275,1
ro4,glg,5.82456522498517,1
glg,ro4,5.82456522498517,1
win,pm2,5.82476892590829,1
pm2,win,5.82476892590829,1
ro2,ca5,5.82633424086348,1
ca5,ro2,5.82633424086348,1
lm1,ca1,5.82659209539815,1
ca1,lm1,5.82659209539815,1
nea,ro2,5.82771385742974,1
ro2,nea,5.82771385742975,1
sc4,pr1,5.82786923163418,1
pr1,sc4,5.82786923163419,1
dlm,ca5,5.82909099631127,1
ca5,dlm,5.82909099631127,1
ll2,sc1,5.82967394087091,1
sc1,ll2,5.82967394087092,1
itg,ro3,5.83097088478116,1
ro3,itg,5.83097088478118,1
spa,lm1,5.83118511531866,1
lm1,spa,5.83118511531866,1
sc3,ca1,5.83296123896205,1
ca1,sc3,5.83296123896205,1
dlm,sc3,5.83306072842921,1
sc3,dlm,5.83306072842922,1
sc3,ro1,5.83450148180498,1
ro1,sc3,5.83450148180498,1
eg2,pr2,5.8357434893127,1
pr2,eg2,5.83574348931271,1
fra,ro1,5.83694295861543,1
ro1,fra,5.83694295861544,1
glg,ro1,5.837185064902,1
ro1,glg,5.83718506490201,1
ve2,sro,5.83726571787143,1
sro,ve2,5.83726571787144,1
ca1,pm5,5.83805159855673,1
qbb,eg4,5.83910898253213,1
eg4,qbb,5.83910898253214,1
li3,ca4,5.83943192556417,1
ca4,li3,5.83943192556417,1
ca3,ast,5.84198479136991,1
ast,ca3,5.84198479136991,1
li1,dlm,5.84372258142911,1
dlm,li1,5.84372258142911,1
fro,ca2,5.84704289676846,1
ca2,fro,5.84704289676846,1
ron,dlm,5.84750678298791,1
dlm,ron,5.84750678298791,1
nea,glg,5.84792235429708,1
glg,nea,5.8479223542971,1
ro2,li3,5.85095562048762,1
li3,ro2,5.85095562048762,1
li2,ca1,5.85119735627534,1
ca1,li2,5.85119735627534,1
ro4,li3,5.85261478646982,1
li3,ro4,5.85261478646982,1
fro,ast,5.85345334797368,1
ast,fro,5.85345334797368,1
fro,pr2,5.85369270538121,1
pr2,fro,5.85369270538122,1
eg3,por,5.85375122730017,1
por,eg3,5.85375122730018,1
pm4,pcd,5.8541142153437,1
dlm,sc2,5.85462561494564,1
sc2,dlm,5.85462561494565,1
src,pm1,5.85548767303804,1
pm1,src,5.85548767303804,1
dlm,ast,5.85756118102524,1
ast,dlm,5.85756118102525,1
rup,li1,5.85803111818269,1
li1,rup,5.8580311181827,1
win,pm4,5.85882046737004,1
ita,ca3,5.85976452463381,1
ca3,ita,5.85976452463382,1
pm1,ca3,5.8604798318968,1
ca3,pm1,5.86047983189681,1
li1,lat,5.86238760277984,1
lat,li1,5.86238760277984,1
ll1,ca5,5.86448331649381,1
ca5,ll1,5.86448331649382,1
ve1,pr2,5.86520489327202,1
pr2,ve1,5.86520489327203,1
sc4,ca1,5.86681680274878,1
ca1,sc4,5.86681680274878,1
lm1,ca3,5.86746908600339,1
ca3,lm1,5.86746908600339,1
lat,ast,5.86814605083826,1
ast,lat,5.86814605083828,1
ca1,sc2,5.86815220519575,1
sc2,ca1,5.86815220519576,1
ron,li1,5.86922697785876,1
li1,ron,5.86922697785876,1
por,eg2,5.87020847802506,1
eg2,por,5.87020847802506,1
pm1,fra,5.87080951764103,1
fra,pm1,5.87080951764103,1
glg,ro3,5.87083110642582,1
ro3,glg,5.87083110642583,1
li1,ca3,5.87085366652303,1
ca3,li1,5.87085366652304,1
ro3,li1,5.87209298987899,1
li1,ro3,5.87209298987899,1
pr2,ca4,5.87423674850002,1
ca4,pr2,5.87423674850002,1
ro4,dlm,5.87433568438892,1
dlm,ro4,5.87433568438892,1
ron,nea,5.87808510084891,1
nea,ron,5.87808510084894,1
ve1,ro1,5.87847723853394,1
ro1,ve1,5.87847723853396,1
por,itg,5.87856480510349,1
itg,por,5.87856480510349,1
por,nea,5.87872479771725,1
nea,por,5.87872479771725,1
pcd,ve3,5.87996039826922,1
ve3,pcd,5.87996039826923,1
sc1,ca5,5.88051714861432,1
ca5,sc1,5.88051714861432,1
sc4,por,5.8809441969232,1
por,sc4,5.8809441969232,1
ll1,ca6,5.88191686879454,1
ca6,ll1,5.88191686879455,1
ll1,ca1,5.88226385830563,1
ca1,ll1,5.88226385830563,1
src,ron,5.88293517067284,1
ron,src,5.88293517067284,1
rup,ito,5.88313321798678,1
ito,rup,5.88313321798678,1
lat,spa,5.88320714918279,1
spa,lat,5.88320714918281,1
pm1,ca1,5.88368085340595,1
ca1,pm1,5.88368085340595,1
fro,win,5.88443376851583,1
win,fro,5.88443376851584,1
ve1,ro3,5.88582770413555,1
ro3,ve1,5.88582770413557,1
ro3,lm1,5.88664699761044,1
lm1,ro3,5.88664699761044,1
ro2,ca3,5.88777123056767,1
ca3,ro2,5.88777123056767,1
ro4,lm1,5.88889711507339,1
lm1,ro4,5.88889711507339,1
ve3,ron,5.89298799642808,1
ron,ve3,5.89298799642808,1
por,ca1,5.89335507347073,1
ca1,por,5.89335507347073,1
sc4,ll1,5.89335631260794,1
ll1,sc4,5.89335631260795,1
ro2,li2,5.89416234980543,1
li2,ro2,5.89416234980543,1
pr2,ca5,5.89627607054749,1
ca5,pr2,5.8962760705475,1
qbb,li1,5.89672629937217,1
li1,qbb,5.89672629937218,1
nea,lm2,5.89674466372128,1
lm2,nea,5.89674466372128,1
li2,ro4,5.89769698539737,1
ro4,li2,5.89769698539738,1
eg1,ca3,5.89836695160779,1
ca3,eg1,5.89836695160781,1
spa,fro,5.90077137048696,1
fro,spa,5.90077137048696,1
qbb,spa,5.9023806360507,1
spa,qbb,5.90238063605071,1
eg1,spa,5.90503889086573,1
spa,eg1,5.90503889086575,1
ll1,nea,5.90552215653229,1
nea,ll1,5.9055221565323,1
ruo,ita,5.91060347939963,1
ita,ruo,5.91060347939964,1
ro4,ca2,5.91073934211765,1
ca2,ro4,5.91073934211765,1
li3,ca6,5.91121683801368,1
ca6,li3,5.91121683801368,1
lm2,ca1,5.91222380132723,1
ca1,lm2,5.91222380132725,1
qbb,ast,5.91296182948943,1
ast,qbb,5.91296182948945,1
li3,ca1,5.91302329476607,1
ca1,li3,5.91302329476607,1
glg,ro2,5.91341967281024,1
ro2,glg,5.91341967281025,1
src,ca2,5.91376338387752,1
ca2,src,5.91376338387753,1
fro,pm5,5.91404713147833,1
pm5,fro,5.91404713147834,1
itg,ro2,5.9146807324042,1
ro2,itg,5.91468073240421,1
itg,pr2,5.91921631918769,1
pr2,itg,5.9192163191877,1
eg1,sc1,5.91998851811511,1
sc1,eg1,5.91998851811513,1
fra,ro4,5.9200788993585,1
ro4,fra,5.92007889935851,1
ca3,pm5,5.92206351349665,1
pm5,ca3,5.92206351349666,1
src,lm1,5.92378174520537,1
lm1,src,5.92378174520538,1
sro,pm3,5.92439061167459,1
pm3,sro,5.92439061167459,1
ro3,dlm,5.92442149343428,1
dlm,ro3,5.92442149343428,1
lm2,fro,5.9245453366099,1
fro,lm2,5.9245453366099,1
spa,pm3,5.92469040735519,1
pm3,spa,5.92469040735519,1
lat,dlm,5.924797187711,1
dlm,lat,5.924797187711,1
dlm,ca6,5.92524892839983,1
ca6,dlm,5.92524892839983,1
por,src,5.92620156401212,1
src,por,5.92620156401213,1
por,li2,5.92650374380264,1
li2,por,5.92650374380264,1
spa,pm5,5.92690126301358,1
pm5,spa,5.92690126301359,1
itg,fro,5.9278134987898,1
fro,itg,5.9278134987898,1
ro2,dlm,5.92811219691969,1
dlm,ro2,5.92811219691969,1
dlm,itf,5.92836605181775,1
itf,dlm,5.92836605181776,1
sc3,ll1,5.92982559927718,1
ll1,sc3,5.92982559927718,1
sc2,ro1,5.93108669741122,1
ro1,sc2,5.93108669741123,1
nea,ll2,5.93190221222599,1
ll2,nea,5.93190221222599,1
nea,ca6,5.93434705152933,1
ca6,nea,5.93434705152934,1
li3,spa,5.93470714394982,1
spa,li3,5.93470714394984,1
sc4,ro1,5.9349399536964,1
ro1,sc4,5.93493995369642,1
sc1,ca4,5.93615163773963,1
ca4,sc1,5.93615163773964,1
ro3,li3,5.93656991392193,1
li3,ro3,5.93656991392193,1
lat,pm4,5.93731408317779,1
lat,li2,5.93768225515385,1
li2,lat,5.93768225515386,1
sro,ron,5.9389566420859,1
ron,sro,5.9389566420859,1
nea,lm1,5.93922871807576,1
lm1,nea,5.93922871807576,1
eg4,por,5.93951636801321,1
por,eg4,5.93951636801322,1
fra,eg2,5.9397646471128,1
eg2,fra,5.93976464711281,1
sc1,ca6,5.94102085127556,1
ca6,sc1,5.94102085127556,1
ron,eg3,5.94153184350872,1
eg3,ron,5.94153184350872,1
ro2,lm1,5.94159471079273,1
lm1,ro2,5.94159471079273,1
ro2,ca6,5.94219679492004,1
ca6,ro2,5.94219679492004,1
ast,ro3,5.94323183291202,1
ro3,ast,5.94323183291203,1
pr2,ca2,5.94380963219623,1
ca2,pr2,5.94380963219623,1
pr2,ca6,5.94393761234903,1
ca6,pr2,5.94393761234904,1
nea,pr1,5.94559084875679,1
pr1,nea,5.9455908487568,1
dlm,ro1,5.94917107747455,1
ro1,dlm,5.94917107747456,1
pr1,dlm,5.94928040394538,1
dlm,pr1,5.94928040394538,1
ron,eg2,5.94947658264847,1
eg2,ron,5.94947658264847,1
fra,eg3,5.95025326761037,1
eg3,fra,5.95025326761037,1
qbb,li2,5.95091430850044,1
li2,qbb,5.95091430850044,1
sc3,ro4,5.95114826415384,1
ro4,sc3,5.95114826415386,1
glg,dlm,5.95304712109935,1
dlm,glg,5.95304712109935,1
pm4,por,5.95485817873073,1
li2,pr2,5.95581731845626,1
pr2,li2,5.95581731845628,1
qbb,dlm,5.95821715204298,1
dlm,qbb,5.95821715204298,1
sc3,ca2,5.9590745997892,1
ca2,sc3,5.95907459978921,1
sc3,ro2,5.96035565224884,1
ro2,sc3,5.96035565224885,1
ll2,ca1,5.96071645949703,1
ca1,ll2,5.96071645949704,1
fra,ve2,5.96271913934182,1
ve2,fra,5.96271913934183,1
pcd,fro,5.96343646763242,1
fro,pcd,5.96343646763242,1
sc3,rup,5.96715908796388,1
rup,sc3,5.96715908796389,1
li2,ca3,5.96894853081469,1
ca3,li2,5.9689485308147,1
ll1,ast,5.96895119825842,1
ast,ll1,5.96895119825842,1
ve2,pcd,5.96897467247372,1
pcd,ve2,5.96897467247372,1
ll1,ca4,5.96934936689025,1
ca4,ll1,5.96934936689025,1
pr2,ast,5.97046775769708,1
ast,pr2,5.97046775769709,1
sro,pm2,5.97157553446231,1
pm2,sro,5.97157553446231,1
sro,spa,5.97214438163604,1
spa,sro,5.97214438163604,1
li1,fro,5.97281276491062,1
fro,li1,5.97281276491063,1
ll2,por,5.97359985189258,1
por,ll2,5.97359985189259,1
pm4,lat,5.97380308933093,1
dlm,ll1,5.97702994829269,1
ll1,dlm,5.9770299482927,1
spa,pm2,5.97718162529813,1
pm2,spa,5.97718162529813,1
spa,lm2,5.97749550546984,1
lm2,spa,5.97749550546984,1
nea,ca5,5.97854737899821,1
ca5,nea,5.97854737899822,1
sro,pm4,5.98034771790753,1
ron,fur,5.98088510415265,1
fur,ron,5.98088510415265,1
fra,pm5,5.98129083821144,1
pm5,fra,5.98129083821145,1
sro,ast,5.98222183799255,1
ast,sro,5.98222183799255,1
sro,rup,5.98269249501876,1
rup,sro,5.98269249501877,1
fra,ve3,5.98293328731723,1
ve3,fra,5.98293328731724,1
fro,dlm,5.98345393885554,1
dlm,fro,5.98345393885555,1
eg1,ro3,5.98418548832635,1
ro3,eg1,5.98418548832636,1
ruo,ito,5.98439971927328,1
ito,ruo,5.98439971927328,1
por,pr1,5.98455852008029,1
pr1,por,5.9845585200803,1
li2,dlm,5.98539690227699,1
dlm,li2,5.985396902277,1
sc2,ca2,5.98562938448751,1
ca2,sc2,5.98562938448751,1
ll2,lat,5.98716092137597,1
lat,ll2,5.98716092137597,1
ll2,ca3,5.98815138391373,1
ca3,ll2,5.98815138391373,1
nea,ca4,5.98859860634689,1
ca4,nea,5.9885986063469,1
dlm,lm1,5.99237870879498,1
lm1,dlm,5.99237870879499,1
sro,nea,5.99296178931682,1
nea,sro,5.99296178931683,1
nea,ast,5.9937947810441,1
ast,nea,5.99379478104411,1
pcd,pm5,5.9942044138629,1
pm5,pcd,5.99420441386291,1
src,lm2,5.99484658354083,1
lm2,src,5.99484658354083,1
src,rup,5.99508508170478,1
rup,src,5.99508508170479,1
ro1,ca2,5.99565968590336,1
ca2,ro1,5.99565968590336,1
sc2,ro2,5.99715208698796,1
ro2,sc2,5.99715208698796,1
sc3,ro3,5.99804160942091,1
ro3,sc3,5.99804160942092,1
fro,eg1,6.00169385936156,1
eg1,fro,6.00169385936156,1
ca2,ro3,6.00225452284369,1
ro3,ca2,6.0022545228437,1
ll2,pr2,6.00306037138248,1
pr2,ll2,6.00306037138249,1
pcd,eg3,6.00445192382334,1
eg3,pcd,6.00445192382335,1
sc2,ll1,6.00461407868173,1
ll1,sc2,6.00461407868173,1
ll1,glg,6.00546900339929,1
glg,ll1,6.0054690033993,1
win,pm5,6.00547798591123,1
pm5,win,6.00547798591123,1
lat,pm2,6.00637068512681,1
pm2,lat,6.00637068512682,1
lat,fur,6.00651765684413,1
fur,lat,6.00651765684414,1
sc4,ca2,6.00776229168023,1
ca2,sc4,6.00776229168023,1
fro,lm1,6.00877288948164,1
lm1,fro,6.00877288948165,1
eg1,ro2,6.00895602665187,1
ro2,eg1,6.00895602665188,1
rup,itg,6.00949887856874,1
itg,rup,6.00949887856874,1
ro1,itf,6.01275526561572,1
itf,ro1,6.01275526561572,1
ron,glg,6.01297675061339,1
glg,ron,6.0129767506134,1
ve1,ro2,6.01332218053783,1
ro2,ve1,6.01332218053783,1
lat,por,6.01364674154692,1
por,lat,6.01364674154693,1
spa,dlm,6.01415766643476,1
dlm,spa,6.01415766643476,1
dlm,src,6.01494449025979,1
src,dlm,6.0149444902598,1
por,sc1,6.01498981258128,1
sc1,por,6.01498981258129,1
pcd,eg4,6.01677050050791,1
eg4,pcd,6.01677050050793,1
ron,pm4,6.01965606058838,1
fra,eg4,6.02051350113949,1
eg4,fra,6.0205135011395,1
pcd,ita,6.02102320164667,1
ita,pcd,6.02102320164667,1
ron,li2,6.02173542175847,1
li2,ron,6.02173542175847,1
lat,ca4,6.02265174624268,1
ca4,lat,6.0226517462427,1
sc2,rup,6.02367084406255,1
rup,sc2,6.02367084406257,1
qbb,ca4,6.02376015706112,1
ca4,qbb,6.02376015706114,1
ro3,itf,6.02537981332156,1
itf,ro3,6.02537981332156,1
sc2,ro4,6.02546296838794,1
ro4,sc2,6.02546296838794,1
li3,fro,6.02580400821821,1
fro,li3,6.02580400821821,1
fra,fur,6.02619819364612,1
fur,fra,6.02619819364613,1
por,ca3,6.02631785113846,1
ca3,por,6.02631785113846,1
por,ca2,6.02791732865305,1
ca2,por,6.02791732865306,1
spa,nea,6.02820319727802,1
nea,spa,6.02820319727802,1
li3,fra,6.02828033396693,1
fra,li3,6.02828033396693,1
ita,fra,6.02830298557944,1
fra,ita,6.02830298557946,1
pm4,ron,6.02830440776529,1
ro1,ast,6.02923374024805,1
ast,ro1,6.02923374024805,1
pm1,sro,6.03283375077577,1
sro,pm1,6.03283375077578,1
sc2,ca3,6.03304042072929,1
ca3,sc2,6.0330404207293,1
qbb,ca5,6.03414766291394,1
ca5,qbb,6.03414766291395,1
ro3,li2,6.0357460293892,1
li2,ro3,6.0357460293892,1
lat,ca5,6.03728248751526,1
ca5,lat,6.03728248751527,1
sc3,ca3,6.03955595319829,1
ca3,sc3,6.03955595319829,1
ve2,ron,6.03972760087225,1
ron,ve2,6.03972760087225,1
pr1,lat,6.04094257728727,1
lat,pr1,6.04094257728727,1
ro4,itf,6.04168107953453,1
itf,ro4,6.04168107953453,1
rup,dlm,6.04211809155561,1
dlm,rup,6.04211809155561,1
ll2,fra,6.04238332642578,1
fra,ll2,6.04238332642578,1
eg1,ron,6.04242718229205,1
ron,eg1,6.04242718229206,1
rup,li2,6.04316629140393,1
li2,rup,6.04316629140394,1
lat,ruq,6.04527223933949,1
ruq,lat,6.0452722393395,1
dlm,ca2,6.04611501892504,1
ca2,dlm,6.04611501892504,1
fra,ro3,6.04764461534173,1
ro3,fra,6.04764461534174,1
src,pm5,6.04784188451109,1
pm5,src,6.0478418845111,1
sro,pm5,6.04793117486686,1
pm5,sro,6.04793117486687,1
lat,pm3,6.04794246368223,1
pm3,lat,6.04794246368224,1
ruo,dlm,6.04932865517379,1
dlm,ruo,6.04932865517379,1
ita,ruq,6.0511470044423,1
ruq,ita,6.05114700444231,1
pcd,eg2,6.05301495834327,1
eg2,pcd,6.05301495834328,1
ro2,ca2,6.05335794672962,1
ca2,ro2,6.05335794672963,1
fra,ca1,6.05348479695526,1
ca1,fra,6.05348479695526,1
ll1,ca2,6.05467178627532,1
ca2,ll1,6.05467178627532,1
sro,pr1,6.05470245190187,1
pr1,sro,6.05470245190187,1
pr2,ll1,6.05600831998996,1
ll1,pr2,6.05600831998996,1
ro2,ast,6.0561551351485,1
ast,ro2,6.0561551351485,1
sro,fur,6.05686216928543,1
fur,sro,6.05686216928544,1
sc3,ron,6.05824786038283,1
ron,sc3,6.05824786038283,1
pr2,eg1,6.05996381876354,1
eg1,pr2,6.05996381876354,1
ron,pm2,6.06020468878204,1
pm2,ron,6.06020468878204,1
sc1,pr1,6.061232828825,1
pr1,sc1,6.06123282882501,1
ron,pm3,6.06227617942669,1
pm3,ron,6.0622761794267,1
spa,pm1,6.06342496872426,1
pm1,spa,6.06342496872426,1
ro4,pr2,6.06557524917044,1
pr2,ro4,6.06557524917044,1
eg1,sro,6.0686703139901,1
sro,eg1,6.06867031399011,1
sc1,lm1,6.06920130378846,1
lm1,sc1,6.06920130378847,1
ll1,ca3,6.07099854885313,1
ca3,ll1,6.07099854885313,1
sro,ca5,6.07295361068068,1
ca5,sro,6.07295361068069,1
li1,fra,6.07319270478459,1
fra,li1,6.0731927047846,1
qbb,pm4,6.07379765879386,1
qbb,ll2,6.07428889748621,1
ll2,qbb,6.07428889748621,1
pr2,spa,6.07557612305217,1
spa,pr2,6.07557612305218,1
ro4,ast,6.07604177080297,1
ast,ro4,6.07604177080298,1
li3,ca3,6.07627933423391,1
ca3,li3,6.07627933423391,1
sc4,ro4,6.0765091052265,1
ro4,sc4,6.0765091052265,1
ron,eg4,6.07799261601691,1
eg4,ron,6.07799261601691,1
sc4,ro2,6.07930377248912,1
ro2,sc4,6.07930377248913,1
sc2,ron,6.07989140770221,1
ron,sc2,6.07989140770221,1
lm2,ca3,6.08148988076376,1
ca3,lm2,6.08148988076377,1
sc3,fro,6.08223837231558,1
fro,sc3,6.08223837231558,1
sc2,ro3,6.08395203659959,1
ro3,sc2,6.0839520365996,1
fra,ro2,6.08486520945258,1
ro2,fra,6.08486520945259,1
ito,fra,6.08493620704087,1
fra,ito,6.08493620704088,1
ro2,itf,6.08517173238078,1
itf,ro2,6.08517173238079,1
sro,ca4,6.08905993544793,1
ca4,sro,6.08905993544793,1
ll1,spa,6.08974427818439,1
spa,ll1,6.0897442781844,1
fra,ca4,6.09000084350294,1
ca4,fra,6.09000084350295,1
dlm,sc4,6.09166267405801,1
sc4,dlm,6.09166267405802,1
sro,ca2,6.0928657778102,1
ca2,sro,6.09286577781021,1
nea,ca2,6.09405974446799,1
ca2,nea,6.094059744468,1
fra,ca5,6.09851366202417,1
ca5,fra,6.09851366202418,1
lat,eg1,6.0991121753432,1
eg1,lat,6.09911217534321,1
sro,ca6,6.09915427256774,1
ca6,sro,6.09915427256775,1
ve1,ron,6.09945449508962,1
ron,ve1,6.09945449508962,1
dlm,li3,6.10413801989065,1
li3,dlm,6.10413801989066,1
li2,fro,6.10492196198597,1
fro,li2,6.10492196198597,1
ruq,fur,6.10564035721391,1
fur,ruq,6.10564035721391,1
qbb,ca6,6.10938845409224,1
ca6,qbb,6.10938845409225,1
dlm,ruq,6.11248767352314,1
ruq,dlm,6.11248767352315,1
lat,ca6,6.11447358617475,1
ca6,lat,6.11447358617476,1
lm2,sro,6.11770984679425,1
sro,lm2,6.11770984679426,1
pcd,li1,6.11790957637687,1
li1,pcd,6.11790957637687,1
por,eg1,6.11961238849662,1
eg1,por,6.11961238849662,1
win,eg2,6.12034822959412,1
eg2,win,6.12034822959412,1
src,fro,6.12123811870106,1
fro,src,6.12123811870106,1
fra,ca3,6.12222346732934,1
ca3,fra,6.12222346732935,1
src,ca1,6.12256915660794,1
ca1,src,6.12256915660794,1
ron,ca4,6.12283316615984,1
ca4,ron,6.12283316615985,1
qbb,ca2,6.12386402620596,1
ca2,qbb,6.12386402620597,1
sc1,ro1,6.1246130874386,1
ro1,sc1,6.12461308743861,1
ruo,itg,6.12648028224521,1
itg,ruo,6.12648028224522,1
ve1,fra,6.12851122171017,1
fra,ve1,6.12851122171017,1
sro,por,6.12908400497515,1
por,sro,6.12908400497515,1
ve1,pcd,6.13036345868494,1
pcd,ve1,6.13036345868494,1
pr2,itf,6.13041332228273,1
itf,pr2,6.13041332228273,1
qbb,fur,6.1318243257146,1
fur,qbb,6.1318243257146,1
ron,pr1,6.1330431151835,1
pr1,ron,6.1330431151835,1
ron,ca6,6.13368654501366,1
ca6,ron,6.13368654501367,1
pcd,ca5,6.13715108566272,1
ca5,pcd,6.13715108566273,1
lat,ca2,6.13890383646449,1
ca2,lat,6.1389038364645,1
spa,ro2,6.13914995724779,1
ro2,spa,6.13914995724779,1
fra,eg1,6.13929053513243,1
eg1,fra,6.13929053513243,1
nea,dlm,6.13965164171746,1
dlm,nea,6.13965164171746,1
spa,ro4,6.14167759765066,1
ro4,spa,6.14167759765066,1
lat,pm5,6.14185496248335,1
pm5,lat,6.14185496248336,1
sc1,ll1,6.14325967445149,1
ll1,sc1,6.14325967445149,1
pm4,qbb,6.14341188357364,1
pcd,ca4,6.1435882660606,1
ca4,pcd,6.14358826606061,1
src,ll1,6.14469191868151,1
ll1,src,6.14469191868152,1
sro,ll2,6.14557911402622,1
ll2,sro,6.14557911402622,1
ron,ca5,6.14737294410314,1
ca5,ron,6.14737294410315,1
lat,pm1,6.14905570610324,1
pm1,lat,6.14905570610325,1
ron,ll2,6.15132801463384,1
